,imDbId,title,fullTitle,type,year,totalRating,totalRatingVotes,ratings,errorMessage
8,tt4786824,The Crown,The Crown (TV Series 2016– ),TVSeries,2016,0,184122,"{'rating': '2', 'percent': '0.3%', 'votes': '512'}",
9,tt4786824,The Crown,The Crown (TV Series 2016– ),TVSeries,2016,0,184122,"{'rating': '1', 'percent': '1.2%', 'votes': '2250'}",

,imDbId,title,fullTitle,type,year,totalRating,totalRatingVotes,ratings,errorMessage
0,tt1492966,Louie,Louie (TV Series 2010–2015),TVSeries,2010,0,77083,"{'rating': '10', 'percent': '30.7%', 'votes': '23657'}",
1,tt1492966,Louie,Louie (TV Series 2010–2015),TVSeries,2010,0,77083,"{'rating': '9', 'percent': '29.5%', 'votes': '22752'}",
2,tt1492966,Louie,Louie (TV Series 2010–2015),TVSeries,2010,0,77083,"{'rating': '8', 'percent': '21.0%', 'votes': '16194'}",
3,tt1492966,Louie,Louie (TV Series 2010–2015),TVSeries,2010,0,77083,"{'rating': '7', 'percent': '9.1%', 'votes': '7045'}",
4,tt1492966,Louie,Louie (TV Series 2010–2015),TVSeries,2010,0,77083,"{'rating': '6', 'percent': '3.5%', 'votes': '2669'}",
5,tt1492966,Louie,Louie (TV Series 2010–2015),TVSeries,2010,0,77083,"{'rating': '5', 'percent': '1.6%', 'votes': '1238'}",
6,tt1492966,Louie,Louie (TV Series 2010–2015),TVSeries,2010,0,77083,"{'rating': '4', 'percent': '0.9%', 'votes': '705'}",
7,tt1492966,Louie,Louie (TV Series 2010–2015),TVSeries,2010,0,77083,"{'rating': '3', 'percent': '0.7%', 'votes': '516'}",
8,tt1492966,Louie,Louie (TV Series 2010–2015),TVSeries,2010,0,77083,"{'rating': '2', 'percent': '0.6%', 'votes': '451'}",
9,tt1492966,Louie,Louie (TV Series 2010–2015),TVSeries,2010,0,77083,"{'rating': '1', 'percent': '2.4%', 'votes': '1856'}",

